StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Alabama,AL,School,No,Thompson Middle School,Regular school,010019001184,40,Alabaster City,Regular local school district,0100190,103,1457,Monthly,8/1/20,8/31/20,Hybrid,,,,Hybrid,,,,,,,,
Alabama,AL,School,No,Thompson Middle School,Regular school,010019001184,40,Alabaster City,Regular local school district,0100190,103,1457,Monthly,9/1/20,9/30/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Thompson Middle School,Regular school,010019001184,40,Alabaster City,Regular local school district,0100190,103,1457,Monthly,10/1/20,10/31/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Thompson Middle School,Regular school,010019001184,40,Alabaster City,Regular local school district,0100190,103,1457,Monthly,11/1/20,11/30/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Thompson Middle School,Regular school,010019001184,40,Alabaster City,Regular local school district,0100190,103,1457,Monthly,12/1/20,12/31/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Thompson Middle School,Regular school,010019001184,40,Alabaster City,Regular local school district,0100190,103,1457,Monthly,1/1/21,1/31/21,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Thompson Middle School,Regular school,010019001184,40,Alabaster City,Regular local school district,0100190,103,1457,Monthly,2/1/21,2/28/21,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Thompson Middle School,Regular school,010019001184,40,Alabaster City,Regular local school district,0100190,103,1457,Monthly,3/1/21,3/31/21,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Thompson Middle School,Regular school,010019001184,40,Alabaster City,Regular local school district,0100190,103,1457,Monthly,4/1/21,4/30/21,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Thompson Middle School,Regular school,010019001184,40,Alabaster City,Regular local school district,0100190,103,1457,Monthly,5/1/21,5/31/21,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville Elementary School,Regular school,010000500889,200,Albertville City,Regular local school district,0100005,101,908,Monthly,8/1/20,8/31/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville Elementary School,Regular school,010000500889,200,Albertville City,Regular local school district,0100005,101,908,Monthly,9/1/20,9/30/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville Elementary School,Regular school,010000500889,200,Albertville City,Regular local school district,0100005,101,908,Monthly,10/1/20,10/31/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville Elementary School,Regular school,010000500889,200,Albertville City,Regular local school district,0100005,101,908,Monthly,11/1/20,11/30/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville Elementary School,Regular school,010000500889,200,Albertville City,Regular local school district,0100005,101,908,Monthly,12/1/20,12/31/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville Elementary School,Regular school,010000500889,200,Albertville City,Regular local school district,0100005,101,908,Monthly,1/1/21,1/31/21,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville Elementary School,Regular school,010000500889,200,Albertville City,Regular local school district,0100005,101,908,Monthly,2/1/21,2/28/21,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville Elementary School,Regular school,010000500889,200,Albertville City,Regular local school district,0100005,101,908,Monthly,3/1/21,3/31/21,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville Elementary School,Regular school,010000500889,200,Albertville City,Regular local school district,0100005,101,908,Monthly,4/1/21,4/30/21,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville Elementary School,Regular school,010000500889,200,Albertville City,Regular local school district,0100005,101,908,Monthly,5/1/21,5/31/21,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville High School,Regular school,010000500871,20,Albertville City,Regular local school district,0100005,101,1606,Monthly,8/1/20,8/31/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville High School,Regular school,010000500871,20,Albertville City,Regular local school district,0100005,101,1606,Monthly,9/1/20,9/30/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville High School,Regular school,010000500871,20,Albertville City,Regular local school district,0100005,101,1606,Monthly,10/1/20,10/31/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville High School,Regular school,010000500871,20,Albertville City,Regular local school district,0100005,101,1606,Monthly,11/1/20,11/30/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville High School,Regular school,010000500871,20,Albertville City,Regular local school district,0100005,101,1606,Monthly,12/1/20,12/31/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville High School,Regular school,010000500871,20,Albertville City,Regular local school district,0100005,101,1606,Monthly,1/1/21,1/31/21,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville High School,Regular school,010000500871,20,Albertville City,Regular local school district,0100005,101,1606,Monthly,2/1/21,2/28/21,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville High School,Regular school,010000500871,20,Albertville City,Regular local school district,0100005,101,1606,Monthly,3/1/21,3/31/21,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville High School,Regular school,010000500871,20,Albertville City,Regular local school district,0100005,101,1606,Monthly,4/1/21,4/30/21,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville High School,Regular school,010000500871,20,Albertville City,Regular local school district,0100005,101,1606,Monthly,5/1/21,5/31/21,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville Intermediate School,Regular school,010000500879,110,Albertville City,Regular local school district,0100005,101,891,Monthly,8/1/20,8/31/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville Intermediate School,Regular school,010000500879,110,Albertville City,Regular local school district,0100005,101,891,Monthly,9/1/20,9/30/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville Intermediate School,Regular school,010000500879,110,Albertville City,Regular local school district,0100005,101,891,Monthly,10/1/20,10/31/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville Intermediate School,Regular school,010000500879,110,Albertville City,Regular local school district,0100005,101,891,Monthly,11/1/20,11/30/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville Intermediate School,Regular school,010000500879,110,Albertville City,Regular local school district,0100005,101,891,Monthly,12/1/20,12/31/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville Intermediate School,Regular school,010000500879,110,Albertville City,Regular local school district,0100005,101,891,Monthly,1/1/21,1/31/21,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville Intermediate School,Regular school,010000500879,110,Albertville City,Regular local school district,0100005,101,891,Monthly,2/1/21,2/28/21,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Albertville Intermediate School,Regular school,010000500879,110,Albertville City,Regular local school district,0100005,101,891,Monthly,3/1/21,3/31/21,In-person,,,,In Person,,,,,,,,
